epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,952.614,0.36495,0.64839,0.27877,0.81649,0,0.98215,0.97424,0.98946,0.94033,0.98215,0.97424,0.98946,0.87667,0.3765,0.62419,0.26012,0.8258,0,0.00189008,0.000630028,0.00189008,0.000630028,0.00189008,0.000630028,0.00189008,0.000630028
33,989.995,0.36198,0.63854,0.27247,0.82296,0,0.9836,0.98218,0.98885,0.94143,0.9836,0.98218,0.98885,0.88501,0.37251,0.61065,0.25518,0.82462,0,0.00186309,0.000621029,0.00186309,0.000621029,0.00186309,0.000621029,0.00186309,0.000621029
34,1034.82,0.35355,0.61039,0.26831,0.81648,0,0.98245,0.98153,0.98959,0.94118,0.98245,0.98153,0.98944,0.88379,0.37594,0.61482,0.25305,0.82383,0,0.00183609,0.00061203,0.00183609,0.00061203,0.00183609,0.00061203,0.00183609,0.00061203
35,1089.08,0.35006,0.60362,0.27471,0.8203,0,0.9763,0.97304,0.99099,0.94704,0.9763,0.97304,0.98936,0.88379,0.34798,0.6168,0.25102,0.81739,0,0.00180909,0.000603031,0.00180909,0.000603031,0.00180909,0.000603031,0.00180909,0.000603031
36,1137.9,0.35976,0.63334,0.26796,0.82599,0,0.98845,0.97028,0.99037,0.94776,0.98845,0.97028,0.99037,0.88365,0.35505,0.61191,0.24172,0.81835,0,0.00178209,0.000594031,0.00178209,0.000594031,0.00178209,0.000594031,0.00178209,0.000594031
37,1179.18,0.35386,0.60829,0.26795,0.8174,0,0.98833,0.98103,0.99066,0.95036,0.98833,0.98103,0.99066,0.89097,0.35864,0.59156,0.24459,0.81781,0,0.0017551,0.000585032,0.0017551,0.000585032,0.0017551,0.000585032,0.0017551,0.000585032
38,1223.27,0.35327,0.59748,0.27125,0.83148,0,0.9845,0.98042,0.99047,0.94506,0.9845,0.98042,0.98728,0.89356,0.37648,0.59609,0.25351,0.82341,0,0.0017281,0.000576033,0.0017281,0.000576033,0.0017281,0.000576033,0.0017281,0.000576033
39,1274.87,0.3462,0.61527,0.26262,0.82274,0,0.98934,0.97209,0.99027,0.94675,0.98934,0.97209,0.98703,0.88266,0.3686,0.58634,0.25278,0.82001,0,0.0017011,0.000567034,0.0017011,0.000567034,0.0017011,0.000567034,0.0017011,0.000567034
40,1325.76,0.36135,0.60112,0.26502,0.82186,0,0.99151,0.97273,0.99027,0.9448,0.99151,0.97273,0.99027,0.88982,0.3554,0.57086,0.2499,0.81781,0,0.00167411,0.000558035,0.00167411,0.000558035,0.00167411,0.000558035,0.00167411,0.000558035
41,1371.78,0.3576,0.61524,0.27352,0.82022,0,0.98986,0.97246,0.98994,0.94545,0.98986,0.97246,0.98994,0.89146,0.35134,0.57512,0.24495,0.81532,0,0.00164711,0.000549036,0.00164711,0.000549036,0.00164711,0.000549036,0.00164711,0.000549036
